Account_ID,Customer_ID,Product_Type,Disbursement_Date,Loan_Amount,Tenure_Months,Interest_Rate,EMI_Amount,Outstanding_Balance,Months_On_Book,EMIs_Due,EMIs_Paid,Current_DPD,DPD_Bucket,Customer_Age,Gender,Monthly_Income,Employment_Type,Employment_Years,City,Residence_Type,Marital_Status,Dependents,Bureau_Score,Total_Trade_Lines,Active_Accounts,Delinquent_Accounts,Credit_Utilization_Pct,Enquiries_Last_3M,Enquiries_Last_6M,Enquiries_Last_12M,Worst_DPD_Last_12M,Written_Off_Accounts,Collection_Calls,PTP_Count,PTP_Kept,Bounce_Count
LN2024000014,CUS0000014,Personal Loan,2024-07-20,12900.0,24,19.31,652.0,2580.0,7,7,7,0,Current,39,Male,6261,Salaried,4.6,Makkah,Family,Single,5,725,8,6,0,49.2,2,2,2,0,0,0,0,0,0
LN2024000015,CUS0000015,Auto Loan,2024-07-16,43100.0,48,13.3,1163.0,8620.0,7,7,7,0,Current,44,Male,11407,Salaried,3.1,Dammam,Owned,Married,0,690,3,1,0,33.3,1,2,3,0,0,0,0,0,0
LN2024000016,CUS0000016,Consumer Durable,2024-04-17,2000.0,9,8.59,230.0,577.78,10,9,8,15,1-30 DPD,39,Male,4000,Business Owner,4.0,Riyadh,Family,Single,2,770,5,4,0,31.3,2,3,4,0,0,0,0,0,1
LN2024000017,CUS0000017,Personal Loan,2024-01-24,33900.0,24,25.05,1810.0,6780.0,13,13,13,0,Current,56,Male,13243,Salaried,1.9,Riyadh,Rented,Single,2,829,9,7,0,28.1,1,1,1,0,0,0,0,0,0
LN2024000018,CUS0000018,Personal Loan,2023-08-11,31800.0,36,19.02,1166.0,6360.0,18,18,18,0,Current,52,Male,13508,Salaried,1.4,Riyadh,Owned,Single,0,674,9,7,0,36.7,0,1,4,30,0,0,0,0,0
LN2024000019,CUS0000019,Auto Loan,2024-10-29,27900.0,48,17.29,809.0,22320.0,4,4,1,163,90+ DPD,31,Male,6891,Self-Employed,9.1,Tabuk,Family,Divorced,3,700,9,7,1,56.8,2,5,5,0,0,8,5,2,2
LN2024000020,CUS0000020,Auto Loan,2023-11-07,34100.0,60,13.48,784.0,6820.0,15,15,15,0,Current,50,Male,7606,Salaried,5.1,Makkah,Rented,Single,2,706,13,8,0,5.0,2,2,2,0,0,0,0,0,0
LN2024000021,CUS0000021,Consumer Durable,2024-08-30,3400.0,12,5.03,291.0,680.0,6,6,6,0,Current,37,Male,4000,Business Owner,8.5,Khobar,Rented,Divorced,3,823,4,2,0,31.5,1,1,3,30,0,0,0,0,0
LN2024000022,CUS0000022,Credit Card,2023-10-20,6700.0,12,31.17,657.0,1340.0,16,12,12,0,Current,34,Male,4000,Government,1.4,Other,Rented,Married,5,611,6,4,1,36.3,1,1,2,30,0,0,0,0,0
LN2024000023,CUS0000023,Consumer Durable,2023-08-16,7400.0,12,19.32,683.0,1973.33,18,12,11,5,1-30 DPD,43,Female,4000,Salaried,5.3,Riyadh,Company Provided,Married,4,666,6,4,0,36.2,2,2,4,0,0,2,1,0,1
LN2024000024,CUS0000024,Consumer Durable,2024-06-28,6700.0,12,2.18,565.0,1340.0,8,8,8,0,Current,33,Female,4000,Self-Employed,4.6,Riyadh,Rented,Married,2,632,8,6,1,50.7,2,2,3,30,0,0,0,0,0
LN2024000025,CUS0000025,Consumer Durable,2024-11-11,4900.0,12,11.39,434.0,2286.67,3,3,2,4,1-30 DPD,39,Male,4000,Salaried,1.4,Khobar,Owned,Single,3,728,7,5,1,38.9,0,0,1,30,0,1,0,0,1
LN2024000026,CUS0000026,Personal Loan,2023-11-22,10000.0,24,18.06,500.0,2000.0,15,15,15,0,Current,37,Male,4000,Salaried,4.5,Jeddah,Company Provided,Single,1,576,7,6,2,40.0,0,0,0,0,0,0,0,0,0
LN2024000027,CUS0000027,Auto Loan,2023-09-23,72400.0,36,15.72,2535.0,14480.0,17,17,17,0,Current,37,Male,31003,Salaried,2.0,Riyadh,Rented,Married,2,707,2,1,1,43.0,0,1,1,0,0,0,0,0,0
LN2024000028,CUS0000028,Personal Loan,2023-11-12,26600.0,24,19.98,1354.0,5320.0,15,15,15,0,Current,53,Female,7572,Self-Employed,1.1,Jeddah,Company Provided,Married,0,754,5,3,0,42.6,0,1,3,0,0,0,0,0,0
LN2024000029,CUS0000029,Personal Loan,2024-01-02,18500.0,12,19.6,1710.0,3700.0,13,12,12,0,Current,35,Male,7474,Self-Employed,18.4,Khobar,Owned,Married,4,646,10,7,1,55.2,3,5,7,30,1,0,0,0,0
LN2024000030,CUS0000030,Consumer Durable,2023-12-17,12100.0,18,23.63,805.0,3111.43,14,14,13,8,1-30 DPD,38,Male,4000,Government,2.6,Jeddah,Owned,Married,2,545,5,3,0,75.6,1,1,2,30,0,1,0,0,1
LN2024000031,CUS0000031,Personal Loan,2023-08-31,13400.0,24,18.51,672.0,2680.0,18,18,18,0,Current,36,Male,4000,Business Owner,8.8,Dammam,Rented,Married,5,752,8,5,0,21.8,1,1,1,0,0,0,0,0,0
LN2024000032,CUS0000032,Auto Loan,2024-06-03,24900.0,48,17.18,721.0,7470.0,8,8,7,3,1-30 DPD,29,Male,6933,Government,0.5,Dammam,Owned,Married,4,627,6,4,0,34.2,2,2,2,30,0,3,2,1,0
LN2024000033,CUS0000033,Auto Loan,2024-10-23,69100.0,48,12.21,1827.0,13820.0,4,4,4,0,Current,54,Female,20031,Salaried,8.9,Jeddah,Family,Single,2,625,5,3,0,50.5,2,4,6,30,0,0,0,0,0
LN2024000034,CUS0000034,Auto Loan,2024-12-10,41200.0,60,16.65,1016.0,8240.0,2,2,2,0,Current,43,Female,17396,Salaried,1.8,Dammam,Rented,Married,2,601,8,6,2,61.4,1,1,2,30,0,0,0,0,0
LN2024000035,CUS0000035,Auto Loan,2024-05-07,37200.0,36,14.01,1272.0,10746.67,9,9,8,16,1-30 DPD,36,Female,11065,Salaried,2.0,Riyadh,Owned,Single,0,565,8,5,0,45.5,2,2,2,0,0,2,1,1,1
LN2024000036,CUS0000036,Personal Loan,2024-12-02,26600.0,24,21.15,1369.0,26600.0,2,2,0,73,61-90 DPD,54,Female,9465,Salaried,4.5,Riyadh,Company Provided,Married,0,612,13,7,0,19.3,0,0,1,30,0,6,2,0,1
LN2024000037,CUS0000037,Auto Loan,2023-09-16,45200.0,36,17.39,1620.0,9040.0,17,17,17,0,Current,42,Male,13766,Government,1.5,Dammam,Rented,Married,4,479,4,2,0,64.9,1,1,2,30,0,0,0,0,0
LN2024000038,CUS0000038,Credit Card,2024-06-17,6300.0,12,30.67,616.0,1890.0,8,8,7,16,1-30 DPD,27,Female,4000,Government,8.5,Riyadh,Family,Married,3,622,8,4,0,33.1,0,1,2,0,0,0,0,0,1
LN2024000039,CUS0000039,Gold Loan,2024-07-26,6600.0,6,14.62,1147.0,1320.0,7,6,6,0,Current,28,Male,4000,Self-Employed,4.7,Madinah,Owned,Single,2,723,4,2,1,30.3,2,4,5,0,0,0,0,0,0
LN2024000040,CUS0000040,Auto Loan,2025-01-25,60000.0,48,17.97,1762.0,12000.0,1,1,1,0,Current,44,Male,17236,Salaried,0.5,Other,Rented,Married,3,672,7,5,0,26.3,4,5,6,0,0,0,0,0,0
LN2024000041,CUS0000041,Consumer Durable,2024-12-16,5700.0,12,9.43,500.0,1140.0,2,2,2,0,Current,34,Male,4000,Self-Employed,2.1,Dammam,Owned,Married,2,681,11,6,1,55.0,2,3,3,0,0,0,0,0,0
LN2024000042,CUS0000042,Personal Loan,2024-03-08,33400.0,24,23.89,1764.0,6680.0,11,11,11,0,Current,45,Female,7347,Business Owner,1.3,Dammam,Rented,Single,1,582,9,7,2,51.4,0,0,1,0,0,0,0,0,0
LN2024000043,CUS0000043,Personal Loan,2025-01-30,13900.0,36,19.02,510.0,13900.0,1,1,0,78,61-90 DPD,41,Male,5970,Salaried,0.5,Jeddah,Owned,Married,0,735,5,3,0,35.2,1,1,4,0,0,6,2,1,0
LN2024000044,CUS0000044,Auto Loan,2024-06-27,41600.0,48,12.99,1116.0,8320.0,8,8,8,0,Current,37,Male,14942,Salaried,5.6,Makkah,Family,Married,0,591,7,5,0,69.2,1,2,2,0,0,0,0,0,0
LN2024000045,CUS0000045,Credit Card,2023-08-22,3100.0,12,33.09,307.0,1033.33,18,12,10,49,31-60 DPD,33,Male,4000,Business Owner,4.9,Madinah,Family,Single,0,687,10,8,0,42.7,0,1,4,30,0,3,1,1,1
LN2024000046,CUS0000046,Personal Loan,2024-09-20,14700.0,48,20.89,454.0,2940.0,5,5,5,0,Current,37,Male,6682,Salaried,3.7,Makkah,Family,Married,3,676,8,5,1,35.5,0,1,2,0,1,0,0,0,0
LN2024000047,CUS0000047,Auto Loan,2025-01-16,34000.0,24,17.49,1689.0,6800.0,1,1,1,0,Current,38,Male,14651,Self-Employed,0.7,Jeddah,Rented,Single,1,671,11,9,0,28.6,3,3,4,0,0,0,0,0,0
LN2024000048,CUS0000048,Gold Loan,2024-10-27,12700.0,6,15.16,2211.0,2540.0,4,4,4,0,Current,47,Male,4000,Salaried,9.7,Riyadh,Family,Married,3,850,5,3,0,5.0,0,1,4,30,0,0,0,0,0
LN2024000049,CUS0000049,Auto Loan,2024-12-19,61300.0,36,14.55,2112.0,12260.0,2,2,2,0,Current,38,Male,16324,Salaried,0.5,Dammam,Company Provided,Married,0,674,3,2,0,41.2,1,2,3,0,0,0,0,0,0
LN2024000050,CUS0000050,Consumer Durable,2025-01-24,2100.0,18,4.37,121.0,2100.0,1,1,0,21,1-30 DPD,38,Male,4000,Salaried,14.8,Makkah,Owned,Single,2,633,8,6,2,51.7,1,2,3,0,0,2,0,0,0
LN2024000051,CUS0000051,Personal Loan,2024-10-12,20800.0,12,22.22,1949.0,8320.0,4,4,3,27,1-30 DPD,33,Female,6162,Self-Employed,1.0,Madinah,Rented,Married,3,541,4,3,1,71.3,1,2,4,60,0,0,0,0,1
LN2024000052,CUS0000052,Credit Card,2024-08-27,9200.0,18,30.82,645.0,1840.0,6,6,6,0,Current,41,Male,4000,Salaried,0.5,Tabuk,Rented,Married,0,679,7,4,0,43.2,0,2,4,0,0,0,0,0,0
LN2024000053,CUS0000053,Consumer Durable,2025-01-13,9100.0,9,14.5,1073.0,9100.0,1,1,0,22,1-30 DPD,45,Female,4000,Salaried,2.1,Riyadh,Owned,Single,5,654,9,4,0,42.1,1,1,2,30,0,2,0,0,0
LN2024000054,CUS0000054,Auto Loan,2023-09-11,20000.0,48,16.97,577.0,4000.0,17,17,17,0,Current,35,Male,5899,Salaried,1.9,Other,Family,Single,2,652,7,3,0,51.0,0,0,1,30,0,0,0,0,0
LN2024000055,CUS0000055,Personal Loan,2024-02-11,28700.0,24,23.76,1514.0,5740.0,12,12,12,0,Current,54,Male,7220,Business Owner,13.8,Riyadh,Company Provided,Married,2,610,5,3,2,49.0,2,3,5,0,0,0,0,0,0
LN2024000056,CUS0000056,Personal Loan,2023-11-02,28400.0,36,21.49,1077.0,5680.0,15,15,15,0,Current,43,Female,5799,Self-Employed,2.2,Riyadh,Rented,Married,4,535,9,6,0,51.1,0,2,4,30,0,0,0,0,0
LN2024000057,CUS0000057,Auto Loan,2024-12-20,20000.0,60,14.78,473.0,4000.0,2,2,2,0,Current,57,Male,5118,Salaried,0.5,Riyadh,Owned,Married,0,663,8,4,0,25.7,1,1,3,0,0,0,0,0,0
LN2024000058,CUS0000058,Consumer Durable,2024-05-04,9200.0,12,18.63,846.0,2657.78,9,9,8,12,1-30 DPD,46,Female,4000,Salaried,4.8,Jeddah,Rented,Single,0,666,3,2,0,52.0,2,5,5,0,0,0,0,0,1
LN2024000059,CUS0000059,Credit Card,2024-01-31,18600.0,12,32.19,1833.0,3720.0,13,12,12,0,Current,50,Male,5811,Business Owner,0.8,Riyadh,Rented,Divorced,4,654,9,6,0,42.5,0,0,0,0,0,0,0,0,0
LN2024000060,CUS0000060,Auto Loan,2024-07-17,29400.0,48,13.91,802.0,9240.0,7,7,6,13,1-30 DPD,40,Male,13408,Self-Employed,0.9,Khobar,Family,Married,2,720,6,4,0,31.4,0,1,2,0,0,5,0,0,0
LN2024000061,CUS0000061,Consumer Durable,2024-07-20,13600.0,6,23.73,2426.0,2720.0,7,6,6,0,Current,29,Male,4288,Salaried,1.2,Khobar,Owned,Divorced,2,704,5,2,0,43.4,1,2,2,0,0,0,0,0,0
LN2024000062,CUS0000062,Auto Loan,2024-09-13,39200.0,48,16.28,1117.0,7840.0,5,5,5,0,Current,46,Female,11884,Business Owner,13.4,Dammam,Rented,Married,4,663,6,4,0,66.3,1,4,5,30,0,0,0,0,0
LN2024000063,CUS0000063,Consumer Durable,2023-10-24,2000.0,18,19.55,129.0,400.0,16,16,16,0,Current,58,Female,4000,Salaried,30.5,Riyadh,Owned,Single,3,675,4,2,0,34.4,0,1,2,0,0,0,0,0,0
LN2024000064,CUS0000064,Consumer Durable,2024-11-19,4100.0,9,18.11,491.0,820.0,3,3,3,0,Current,49,Male,4000,Salaried,3.7,Jeddah,Rented,Single,2,656,7,4,0,33.4,1,1,1,0,0,0,0,0,0
LN2024000065,CUS0000065,Credit Card,2024-09-09,11200.0,18,33.44,800.0,5824.0,5,5,3,45,31-60 DPD,52,Female,4000,Salaried,1.0,Jeddah,Company Provided,Single,1,711,10,5,0,42.2,1,2,2,30,0,4,0,0,1
LN2024000066,CUS0000066,Personal Loan,2024-07-19,25900.0,12,23.69,2445.0,5180.0,7,7,7,0,Current,53,Male,5882,Salaried,9.0,Riyadh,Company Provided,Married,3,681,5,2,0,58.4,2,3,5,0,0,0,0,0,0
LN2024000067,CUS0000067,Consumer Durable,2023-08-26,9900.0,18,3.69,566.0,1980.0,18,18,18,0,Current,39,Male,4000,Salaried,3.3,Khobar,Rented,Married,0,720,6,5,0,48.4,0,2,5,0,0,0,0,0,0
LN2024000068,CUS0000068,Personal Loan,2024-02-19,20800.0,18,21.9,1366.0,4160.0,12,12,12,0,Current,58,Male,4372,Business Owner,1.4,Jeddah,Company Provided,Divorced,2,642,10,8,1,35.6,1,2,3,30,0,0,0,0,0
LN2024000069,CUS0000069,Personal Loan,2023-11-08,10000.0,12,19.84,926.0,2666.67,15,12,11,12,1-30 DPD,43,Female,4000,Business Owner,7.6,Jeddah,Rented,Divorced,1,591,12,7,0,50.3,2,2,3,0,0,2,0,0,0
LN2024000070,CUS0000070,Auto Loan,2024-08-16,59600.0,48,14.64,1648.0,27813.33,6,6,4,53,31-60 DPD,48,Male,17746,Salaried,9.5,Riyadh,Owned,Married,4,666,6,3,0,46.2,2,2,2,30,0,3,1,0,0
LN2024000071,CUS0000071,Personal Loan,2023-08-23,18700.0,18,24.31,1250.0,4571.11,18,18,17,1,1-30 DPD,38,Male,4000,Salaried,2.5,Jeddah,Rented,Divorced,2,667,7,4,0,37.6,2,2,4,30,0,2,0,0,0
LN2024000072,CUS0000072,Credit Card,2024-08-04,24000.0,12,26.35,2297.0,4800.0,6,6,6,0,Current,48,Male,11095,Salaried,0.7,Jeddah,Owned,Married,0,574,6,3,0,65.8,3,4,5,30,0,0,0,0,0
LN2024000073,CUS0000073,Consumer Durable,2024-03-31,5200.0,9,5.98,592.0,1964.44,11,9,7,59,31-60 DPD,48,Male,4000,Salaried,9.7,Riyadh,Rented,Single,0,643,7,5,0,55.9,0,0,1,0,0,3,2,1,1
LN2024000074,CUS0000074,Consumer Durable,2024-09-28,7100.0,18,0.4,396.0,1420.0,5,5,5,0,Current,60,Male,4000,Salaried,0.5,Madinah,Owned,Married,2,562,4,2,0,82.8,1,2,2,0,0,0,0,0,0
LN2024000075,CUS0000075,Personal Loan,2025-01-04,12400.0,18,19.65,801.0,2480.0,1,1,1,0,Current,52,Female,5441,Salaried,8.8,Jeddah,Family,Married,1,712,6,3,0,34.0,0,1,2,0,0,0,0,0,0
LN2024000076,CUS0000076,Auto Loan,2023-10-10,20000.0,60,12.77,453.0,4000.0,16,16,16,0,Current,43,Male,4237,Business Owner,3.9,Riyadh,Family,Single,3,668,5,3,0,45.4,3,3,5,0,0,0,0,0,0
LN2024000077,CUS0000077,Auto Loan,2024-05-30,38800.0,48,16.7,1114.0,7760.0,9,9,9,0,Current,44,Male,9649,Self-Employed,1.4,Jeddah,Owned,Single,5,702,4,2,0,48.2,2,5,5,0,0,0,0,0,0
LN2024000078,CUS0000078,Personal Loan,2024-12-28,23600.0,36,25.59,946.0,23600.0,2,2,0,37,31-60 DPD,34,Male,4781,Salaried,10.2,Makkah,Rented,Single,3,584,4,3,0,53.1,2,2,2,0,0,2,1,0,2
LN2024000079,CUS0000079,Personal Loan,2024-04-04,20000.0,48,25.54,669.0,4000.0,10,10,10,0,Current,45,Female,4023,Salaried,11.8,Riyadh,Owned,Single,2,762,5,2,0,17.1,2,3,4,0,0,0,0,0,0
LN2024000080,CUS0000080,Consumer Durable,2024-12-17,5000.0,9,3.7,564.0,3000.0,2,2,1,17,1-30 DPD,29,Female,4000,Government,7.0,Tabuk,Family,Married,4,657,8,6,0,63.4,2,3,5,0,0,1,1,1,0
LN2024000081,CUS0000081,Personal Loan,2024-02-07,28500.0,24,23.3,1497.0,5700.0,12,12,12,0,Current,38,Male,8997,Government,10.0,Makkah,Family,Married,2,723,11,9,0,43.3,0,0,0,0,0,0,0,0,0
LN2024000082,CUS0000082,Consumer Durable,2024-01-14,5100.0,18,18.64,327.0,2275.38,13,13,9,170,90+ DPD,33,Male,4000,Salaried,5.6,Riyadh,Family,Single,0,706,12,9,1,41.1,1,2,2,0,0,7,1,0,0
LN2024000083,CUS0000083,Auto Loan,2024-11-07,63700.0,60,17.74,1609.0,12740.0,3,3,3,0,Current,36,Female,17382,Salaried,1.8,Jeddah,Owned,Married,5,744,3,1,0,22.4,1,1,3,0,0,0,0,0,0
LN2024000084,CUS0000084,Auto Loan,2024-08-31,40300.0,36,13.46,1367.0,13433.33,6,6,5,7,1-30 DPD,40,Male,18795,Self-Employed,2.2,Riyadh,Company Provided,Single,2,693,8,4,0,42.8,1,2,5,0,0,1,1,0,0
LN2024000085,CUS0000085,Gold Loan,2024-11-24,25300.0,6,15.84,4414.0,25300.0,3,3,0,154,90+ DPD,35,Female,5318,Government,6.3,Jeddah,Rented,Single,0,786,5,3,0,13.9,1,1,2,0,0,10,3,2,2
LN2024000086,CUS0000086,Credit Card,2023-09-24,13800.0,18,25.76,932.0,2760.0,17,17,17,0,Current,37,Female,4000,Self-Employed,0.5,Jeddah,Rented,Single,1,679,10,8,0,38.4,1,3,4,30,0,0,0,0,0
LN2024000087,CUS0000087,Auto Loan,2023-08-20,68400.0,48,12.22,1809.0,13680.0,18,18,18,0,Current,27,Male,28332,Salaried,1.4,Dammam,Rented,Married,5,625,8,5,0,59.0,1,2,2,0,0,0,0,0,0
LN2024000088,CUS0000088,Personal Loan,2023-12-25,25000.0,12,24.44,2369.0,5000.0,14,12,12,0,Current,47,Female,5533,Business Owner,9.0,Madinah,Family,Divorced,3,795,7,5,0,30.8,1,1,3,30,0,0,0,0,0
LN2024000089,CUS0000089,Personal Loan,2024-11-19,44600.0,36,23.96,1749.0,8920.0,3,3,3,0,Current,53,Female,11464,Salaried,8.8,Riyadh,Owned,Single,2,629,8,4,0,51.0,0,2,3,0,0,0,0,0,0
LN2024000090,CUS0000090,Auto Loan,2024-02-23,36200.0,48,13.45,979.0,7240.0,12,12,12,0,Current,52,Female,14453,Salaried,3.5,Jeddah,Rented,Divorced,0,689,5,3,0,48.5,1,1,2,0,0,0,0,0,0
LN2024000091,CUS0000091,Consumer Durable,2023-08-31,3900.0,9,6.32,445.0,780.0,18,9,9,0,Current,28,Male,4000,Salaried,2.2,Tabuk,Family,Single,1,698,4,2,0,31.5,2,2,3,0,0,0,0,0,0
LN2024000092,CUS0000092,Gold Loan,2024-04-28,7900.0,6,13.72,1370.0,1580.0,10,6,6,0,Current,49,Female,4000,Salaried,1.4,Tabuk,Rented,Married,1,588,5,3,0,66.3,0,0,1,30,0,0,0,0,0
LN2024000093,CUS0000093,Auto Loan,2024-08-04,25200.0,36,15.32,878.0,5040.0,6,6,6,0,Current,53,Female,5876,Business Owner,9.3,Riyadh,Rented,Single,0,647,9,7,0,51.4,0,3,4,60,0,0,0,0,0
LN2024000094,CUS0000094,Consumer Durable,2024-05-14,2000.0,12,18.7,184.0,400.0,9,9,9,0,Current,57,Male,4000,Salaried,1.2,Makkah,Owned,Married,0,721,7,6,1,52.0,1,2,3,0,0,0,0,0,0
LN2024000095,CUS0000095,Auto Loan,2024-10-27,80200.0,48,12.92,2148.0,16040.0,4,4,4,0,Current,62,Female,19199,Self-Employed,5.6,Jeddah,Owned,Married,3,631,11,8,2,47.7,3,4,4,30,0,0,0,0,0
LN2024000096,CUS0000096,Consumer Durable,2024-10-13,7000.0,12,12.55,624.0,1400.0,4,4,4,0,Current,48,Female,4000,Self-Employed,2.4,Dammam,Owned,Single,3,612,8,4,0,57.5,1,2,4,0,0,0,0,0,0
LN2024000097,CUS0000097,Personal Loan,2023-08-10,53200.0,36,25.89,2140.0,10640.0,18,18,18,0,Current,42,Male,19336,Business Owner,2.0,Makkah,Family,Married,0,554,5,2,0,72.8,3,3,4,0,0,0,0,0,0
LN2024000098,CUS0000098,Auto Loan,2023-11-29,29500.0,48,14.12,808.0,5900.0,15,15,15,0,Current,38,Male,9316,Government,2.5,Jeddah,Owned,Married,4,665,5,4,0,51.4,1,1,2,30,0,0,0,0,0
LN2024000099,CUS0000099,Personal Loan,2023-10-13,11600.0,36,24.25,457.0,2320.0,16,16,16,0,Current,34,Male,4000,Salaried,2.4,Makkah,Owned,Married,5,736,6,3,0,18.7,0,0,0,0,0,0,0,0,0
LN2024000100,CUS0000100,Personal Loan,2025-01-13,23000.0,24,21.08,1183.0,4600.0,1,1,1,0,Current,44,Male,10464,Salaried,3.3,Riyadh,Rented,Divorced,4,705,6,4,0,50.4,1,1,2,0,0,0,0,0,0
LN2024000101,CUS0000101,Auto Loan,2024-08-07,32100.0,36,16.89,1143.0,6420.0,6,6,6,0,Current,48,Male,7870,Salaried,5.0,Dammam,Owned,Married,4,647,10,7,0,36.7,0,0,1,0,0,0,0,0,0
LN2024000102,CUS0000102,Consumer Durable,2023-11-08,9600.0,6,6.63,1631.0,4480.0,15,6,4,52,31-60 DPD,30,Male,4000,Salaried,0.8,Jeddah,Rented,Married,1,676,6,3,0,51.0,0,0,3,0,0,8,1,1,0
LN2024000103,CUS0000103,Personal Loan,2023-11-02,19800.0,36,22.05,757.0,3960.0,15,15,15,0,Current,34,Male,4883,Self-Employed,0.9,Tabuk,Owned,Married,1,665,8,7,2,48.0,0,0,0,30,0,0,0,0,0
LN2024000104,CUS0000104,Personal Loan,2024-10-26,18800.0,36,20.55,704.0,3760.0,4,4,4,0,Current,48,Male,4275,Government,0.5,Riyadh,Owned,Married,0,741,4,2,0,36.8,1,2,3,0,0,0,0,0,0
LN2024000105,CUS0000105,Personal Loan,2023-08-18,70500.0,24,20.62,3610.0,14100.0,18,18,18,0,Current,37,Female,15628,Business Owner,11.5,Riyadh,Owned,Married,2,620,7,5,0,57.2,0,0,2,0,0,0,0,0,0
LN2024000106,CUS0000106,Consumer Durable,2024-08-30,2000.0,6,1.02,334.0,400.0,6,6,6,0,Current,29,Male,4000,Salaried,0.8,Riyadh,Owned,Married,3,679,5,3,0,52.5,0,0,4,0,0,0,0,0,0
LN2024000107,CUS0000107,Credit Card,2023-10-24,7000.0,24,32.85,402.0,1400.0,16,16,16,0,Current,37,Female,4000,Business Owner,5.2,Jeddah,Owned,Married,2,739,5,3,0,41.1,0,0,3,0,0,0,0,0,0
LN2024000108,CUS0000108,Auto Loan,2024-09-26,47800.0,36,17.97,1727.0,9560.0,5,5,5,0,Current,49,Female,11363,Government,0.5,Makkah,Owned,Married,5,750,9,5,0,34.2,0,2,4,0,0,0,0,0,0
